Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total,Month
Salary,162033197.36211777,162033197.36211777,152431513.26,9601684.102117777,9601684.102117777,200167152.70336598,201967152.70336604,188218396.65,11948756.053365976,13748756.053366035,138016352.1586888,142164756.5786888,130215751.78000006,7800600.378688753,11949004.79868874,32719833.483659264,32719833.483659264,29408161.861376926,3311671.6222823374,3311671.6222823374,44571277.59690219,44571277.59690219,42867852.71520531,1703424.8816968799,1703424.8816968799,14600538.563668787,14600538.563668787,12351032.01,2249506.5536687877,2249506.5536687877,8366861.945082798,8366861.945082798,6597567.21,1769294.7350827977,1769294.7350827977,8543640.16993791,8543640.16993791,7922882.829999999,620757.3399379114,620757.3399379114,11013974.999999996,11013974.999999996,8178175.19,2835799.809999996,2835799.809999996,620032828.9834235,625981233.4034235,578191333.5065824,41841495.47684109,47789899.89684117,YTD Mar'19
Wages,0.0,0.0,0.0,0.0,0.0,369565004.1161097,370249984.64131266,276544465.24999994,93020538.86610979,93705519.39131272,101276134.96557371,106015470.40770489,122129582.58999999,-20853447.624426275,-16114112.182295099,14409989.76690574,14409989.76690574,13909197.8317,500791.935205739,500791.935205739,9523008.793246876,9523008.793246876,9570080.241696877,-47071.44845000096,-47071.44845000096,409188.0,409188.0,409225.33999999997,-37.339999999967404,-37.339999999967404,0.0,0.0,0.0,0.0,0.0,2630680.0,2630680.0,3010124.6799999992,-379444.67999999924,-379444.67999999924,0.0,0.0,0.0,0.0,0.0,497814005.64183605,503238321.60917014,425572675.9333968,72241329.70843923,77665645.67577332,YTD Mar'19
Tarinees,5130478.800000001,5130478.800000001,5809378.07,-678899.2699999996,-678899.2699999996,185944266.16079998,191213707.708,200141501.81000003,-14197235.649200052,-8927794.102000028,134886677.4271786,143084055.14595398,150587187.09,-15700509.662821412,-7503131.9440460205,28204078.548000004,28371920.262000006,38184144.13,-9980065.581999999,-9812223.867999997,47048377.33780245,47048377.33780245,44196317.818387106,2852059.5194153413,2852059.5194153413,19586686.542991538,19586686.542991538,19192055.68,394630.8629915379,394630.8629915379,19432082.488808714,19432082.488808714,20347631.669999998,-915549.1811912842,-915549.1811912842,15913539.0,14713539.0,12390024.81841074,3523514.1815892607,2323514.1815892607,0.0,0.0,0.0,0.0,0.0,456146186.3055812,468580847.28555673,490848241.0867979,-34702054.78121668,-22267393.80124116,YTD Mar'19
Total,167163676.16211778,167163676.16211778,158240891.32999998,8922784.832117777,8922784.832117777,755676422.9802756,763430845.0526786,664904363.71,90772059.27027571,98526481.34267873,374179164.5514411,391264282.1323477,402932521.46000004,-28753356.908558935,-11668239.32765238,75333901.79856502,75501743.51256502,81501503.82307693,-6167602.024511922,-5999760.310511921,101142663.72795153,101142663.72795153,96634250.7752893,4508412.95266222,4508412.95266222,34596413.10666032,34596413.10666032,31952313.03,2644100.0766603258,2644100.0766603258,27798944.433891512,27798944.433891512,26945198.88,853745.5538915135,853745.5538915135,27087859.16993791,25887859.16993791,23323032.328410737,3764826.841527173,2564826.841527173,11013974.999999996,11013974.999999996,8178175.19,2835799.809999996,2835799.809999996,1573993020.9308405,1597800402.2981505,1494612250.526777,79380770.40406364,103188151.77137333,YTD Mar'19
Pune Warehouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YTD Mar'19
MSIL Sub Assembly-Gurgaon,0.0,0.0,0.0,0.0,0.0,15077580.030719994,15077580.030719994,15738058.0,-660477.9692800064,-660477.9692800064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15077580.030719994,15077580.030719994,15738058.0,-660477.9692800064,-660477.9692800064,YTD Mar'19
"MSIL Sub Assembly, Manesar",0.0,0.0,0.0,0.0,0.0,14783190.190079996,14783190.190079996,18342940.0,-3559749.8099200036,-3559749.8099200036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14783190.190079996,14783190.190079996,18342940.0,-3559749.8099200036,-3559749.8099200036,YTD Mar'19
Banglore Sub Assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YTD Mar'19
KAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YTD Mar'19
AFM Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,-30000.0,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,-30000.0,-30000.0,YTD Mar'19
