Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total
Salary,12668473.613509813,12668473.613509813,11431069.41,1237404.2035098132,1237404.2035098132,16334196.919724945,16334196.919724945,15500495.39,833701.5297249444,833701.5297249444,11052386.877112957,11052386.877112957,10415741.180000003,636645.6971129533,636645.6971129533,2591930.5680827163,2591930.5680827163,2383120.8405564106,208809.7275263057,208809.7275263057,3706460.633075183,3706460.633075183,3470576.0,235884.6330751828,235884.6330751828,1152128.2136390656,1152128.2136390656,1084917.74,67210.47363906563,67210.47363906563,605571.8287568999,605571.8287568999,571769.72,33802.10875689995,33802.10875689995,711970.0141614923,711970.0141614923,601746.6799999999,110223.33416149241,110223.33416149241,378247.916666667,378247.916666667,381249.43,-3001.513333333016,-3001.513333333016,49201366.58472974,49201366.58472974,45840686.39055642,3360680.194173321,3360680.194173321
Wages,0.0,0.0,0.0,0.0,0.0,21792253.10910944,21792253.10910944,21574424.840000004,217828.26910943538,217828.26910943538,9097923.170045087,9097923.170045087,9884909.48,-786986.3099549133,-786986.3099549133,1170683.807825478,1170683.807825478,1142163.0697,28520.738125477917,28520.738125477917,793584.0661039064,793584.0661039064,788821.0,4763.066103906371,4763.066103906371,34099.0,34099.0,31912.160000000003,2186.8399999999965,2186.8399999999965,0.0,0.0,0.0,0.0,0.0,278245.0,278245.0,270229.0,8016.0,8016.0,0.0,0.0,0.0,0.0,0.0,33166788.15308391,33166788.15308391,33692459.54970001,-525671.3966160975,-525671.3966160975
Tarinees,427539.89999999997,427539.89999999997,482071.0,-54531.100000000035,-54531.100000000035,15566217.491,15566217.491,17360882.439999998,-1794664.9489999972,-1794664.9489999972,11877214.137608718,11877214.137608718,12749890.969999999,-872676.8323912807,-872676.8323912807,2286698.4439999997,2286698.4439999997,3164133.0,-877434.5560000003,-877434.5560000003,3822941.004227135,3822941.004227135,4064973.46,-242032.4557728651,-242032.4557728651,1587626.3497297438,1587626.3497297438,1901244.0,-313617.6502702562,-313617.6502702562,1609720.7680712265,1609720.7680712265,1675626.0,-65905.23192877346,-65905.23192877346,1341156.0,1341156.0,1146867.0,194289.0,194289.0,0.0,0.0,0.0,0.0,0.0,38519114.09463682,38519114.09463682,42545687.87,-4026573.775363177,-4026573.775363177
Total,13096013.513509814,13096013.513509814,11913140.41,1182873.103509813,1182873.103509813,53692667.519834384,53692667.519834384,54435802.67,-743135.1501656175,-743135.1501656175,32027524.184766762,32027524.184766762,33050541.630000003,-1023017.4452332407,-1023017.4452332407,6049312.819908194,6049312.819908194,6689416.910256411,-640104.0903482167,-640104.0903482167,8322985.703406224,8322985.703406224,8324370.46,-1384.7565937759355,-1384.7565937759355,2773853.5633688094,2773853.5633688094,3018073.9,-244220.33663119058,-244220.33663119058,2215292.5968281263,2215292.5968281263,2247395.7199999997,-32103.123171873507,-32103.123171873507,2331371.014161492,2331371.014161492,2018842.68,312528.3341614924,312528.3341614924,378247.916666667,378247.916666667,381249.43,-3001.513333333016,-3001.513333333016,120887268.83245048,120887268.83245048,122078833.81025642,-1191564.9778059535,-1191564.9778059535
Pune Warehouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSIL Sub Assembly-Gurgaon,0.0,0.0,0.0,0.0,0.0,1245465.0025599997,1245465.0025599997,1261500.0,-16034.997440000298,-16034.997440000298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245465.0025599997,1245465.0025599997,1261500.0,-16034.997440000298,-16034.997440000298
"MSIL Sub Assembly, Manesar",0.0,0.0,0.0,0.0,0.0,1231932.5158399998,1231932.5158399998,1335650.0,-103717.48416000023,-103717.48416000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231932.5158399998,1231932.5158399998,1335650.0,-103717.48416000023,-103717.48416000023
Banglore Sub Assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFM Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,-1094.0,-1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,-1094.0,-1094.0
